2022-02-11 20:38:27,325 || WARNING || Thread 2: No heartbeat received from server in 10 seconds. Will try 2 more attempt(s) || __main__
2022-02-11 20:38:27,325 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:38:37,341 || WARNING || Thread 2: No heartbeat received from server in 10 seconds. Will try 1 more attempt(s) || __main__
2022-02-11 20:38:37,341 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:38:47,342 || ERROR || Thread 2: No replies from server after 3 attempts. Terminating connection || __main__
2022-02-11 20:47:11,062 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:47:11,062 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:47:31,065 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-11 20:50:46,064 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:50:46,064 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:51:06,064 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
